Date/Time,Event,Session ID,Temp,Humidity,Methane - 12 bit ADC
"March 11, 2021 at 04:58PM",ece477,100120,77.69931F,52.35%,400
"March 11, 2021 at 04:58PM",ece477,100121,77.69931F,52.71%,398
"March 11, 2021 at 04:58PM",ece477,100122,77.66731F,52.91%,410
"March 11, 2021 at 04:59PM",ece477,100123,77.63529F,53.16%,419
"March 11, 2021 at 04:59PM",ece477,100124,77.63529F,53.32%,416
"March 11, 2021 at 04:59PM",ece477,100125,77.66731F,53.59%,463
"March 11, 2021 at 04:59PM",ece477,100126,77.69931F,53.88%,422
"March 11, 2021 at 04:59PM",ece477,100127,77.66731F,53.95%,427
"March 11, 2021 at 04:59PM",ece477,100128,77.66731F,54.16%,431
"March 11, 2021 at 04:59PM",ece477,100129,77.60329F,54.39%,430
"March 11, 2021 at 04:59PM",ece477,100130,77.63529F,54.62%,432
"March 11, 2021 at 04:59PM",ece477,100131,77.63529F,54.70%,429
"March 11, 2021 at 04:59PM",ece477,100132,77.63529F,54.97%,434
"March 11, 2021 at 05:00PM",ece477,100133,77.66731F,55.24%,439
"March 11, 2021 at 05:00PM",ece477,100134,77.60329F,55.43%,446
"March 11, 2021 at 05:00PM",ece477,100135,77.57127F,55.57%,439
"March 11, 2021 at 05:00PM",ece477,100136,77.57127F,55.64%,433
"March 11, 2021 at 05:00PM",ece477,100137,77.60329F,55.81%,448
"March 11, 2021 at 05:00PM",ece477,100138,77.53926F,56.02%,451
"March 11, 2021 at 05:00PM",ece477,100139,77.63529F,56.33%,448
"March 11, 2021 at 05:00PM",ece477,100140,77.60329F,56.33%,449
"March 11, 2021 at 05:00PM",ece477,100141,77.53926F,56.55%,455
"March 11, 2021 at 05:00PM",ece477,100142,77.57127F,56.58%,461
"March 11, 2021 at 05:01PM",ece477,100143,77.53926F,57.06%,461
"March 11, 2021 at 05:01PM",ece477,100144,77.53926F,57.07%,464
"March 11, 2021 at 05:01PM",ece477,100145,77.53926F,57.19%,464
"March 11, 2021 at 05:01PM",ece477,100146,77.60329F,57.38%,469
"March 11, 2021 at 05:01PM",ece477,100147,77.53926F,57.51%,474
"March 11, 2021 at 05:01PM",ece477,100148,77.57127F,57.75%,468
"March 11, 2021 at 05:01PM",ece477,100149,77.53926F,58.02%,466
"March 11, 2021 at 05:01PM",ece477,100150,77.50725F,58.14%,468
"March 11, 2021 at 05:01PM",ece477,100151,77.53926F,58.39%,481
"March 11, 2021 at 05:01PM",ece477,100152,77.47524F,58.54%,480
"March 11, 2021 at 05:02PM",ece477,100153,77.53926F,58.72%,484
"March 11, 2021 at 05:02PM",ece477,100154,77.50725F,58.78%,486
"March 11, 2021 at 05:02PM",ece477,100155,77.57127F,58.90%,484
"March 11, 2021 at 05:02PM",ece477,100156,77.53926F,59.04%,492
"March 11, 2021 at 05:02PM",ece477,100157,77.50725F,59.17%,490
"March 11, 2021 at 05:02PM",ece477,100158,77.47524F,59.30%,496
"March 11, 2021 at 05:02PM",ece477,100159,77.53926F,59.26%,496
"March 11, 2021 at 05:02PM",ece477,100160,77.50725F,59.48%,491
"March 11, 2021 at 05:02PM",ece477,100161,77.50725F,59.54%,496
"March 11, 2021 at 05:02PM",ece477,100162,77.53926F,59.58%,496
"March 11, 2021 at 05:03PM",ece477,100163,77.50725F,59.80%,496
"March 11, 2021 at 05:03PM",ece477,100164,77.53926F,60.10%,500
"March 11, 2021 at 05:03PM",ece477,100165,77.50725F,59.98%,498
"March 11, 2021 at 05:03PM",ece477,100166,77.53926F,60.10%,500
"March 11, 2021 at 05:03PM",ece477,100167,77.57127F,60.38%,498
"March 11, 2021 at 05:03PM",ece477,100168,77.47524F,60.30%,498
"March 11, 2021 at 05:03PM",ece477,100169,77.50725F,60.41%,511
"March 11, 2021 at 05:03PM",ece477,100170,77.47524F,60.57%,507
"March 11, 2021 at 05:03PM",ece477,100171,77.47524F,60.64%,517
"March 11, 2021 at 05:03PM",ece477,100172,77.53926F,60.76%,510
"March 11, 2021 at 05:04PM",ece477,100173,77.47524F,60.80%,519
"March 11, 2021 at 05:04PM",ece477,100174,77.50725F,60.98%,511
"March 11, 2021 at 05:04PM",ece477,100175,77.53926F,61.15%,526
"March 11, 2021 at 05:04PM",ece477,100176,77.53926F,61.19%,523
"March 11, 2021 at 05:04PM",ece477,100177,77.53926F,61.22%,527
"March 11, 2021 at 05:04PM",ece477,100178,77.50725F,61.32%,453
"March 11, 2021 at 05:04PM",ece477,100179,77.53926F,61.35%,526
"March 11, 2021 at 05:04PM",ece477,100180,77.50725F,61.47%,529
"March 11, 2021 at 05:04PM",ece477,100181,77.57127F,61.61%,591
"March 11, 2021 at 05:04PM",ece477,100182,77.50725F,61.76%,537
"March 11, 2021 at 05:05PM",ece477,100183,77.50725F,61.82%,535
"March 11, 2021 at 05:05PM",ece477,100184,77.50725F,61.81%,523
"March 11, 2021 at 05:05PM",ece477,100185,77.53926F,61.94%,533
"March 11, 2021 at 05:05PM",ece477,100186,77.50725F,62.03%,535
"March 11, 2021 at 05:05PM",ece477,100187,77.53926F,62.14%,541
"March 11, 2021 at 05:05PM",ece477,100188,77.57127F,62.37%,528
"March 11, 2021 at 05:05PM",ece477,100189,77.53926F,62.41%,534
"March 11, 2021 at 05:05PM",ece477,100190,77.53926F,62.52%,542
"March 11, 2021 at 05:05PM",ece477,100191,77.53926F,62.56%,543
"March 11, 2021 at 05:05PM",ece477,100192,77.57127F,62.44%,548
"March 11, 2021 at 05:06PM",ece477,100193,77.57127F,62.62%,547
"March 11, 2021 at 05:06PM",ece477,100194,77.60329F,62.60%,548
"March 11, 2021 at 05:06PM",ece477,100195,77.53926F,62.92%,547
"March 11, 2021 at 05:06PM",ece477,100196,77.63529F,62.94%,550
"March 11, 2021 at 05:06PM",ece477,100197,77.53926F,62.95%,551
"March 11, 2021 at 05:06PM",ece477,100198,77.50725F,63.03%,557
"March 11, 2021 at 05:06PM",ece477,100199,77.53926F,63.09%,543
"March 11, 2021 at 05:06PM",ece477,100200,77.53926F,63.17%,557
"March 11, 2021 at 05:06PM",ece477,100201,77.53926F,63.29%,555
"March 11, 2021 at 05:06PM",ece477,100202,77.53926F,63.29%,555
"March 11, 2021 at 05:07PM",ece477,100203,77.53926F,63.32%,554
"March 11, 2021 at 05:07PM",ece477,100204,77.57127F,63.38%,559
"March 11, 2021 at 05:07PM",ece477,100205,77.57127F,63.51%,554
"March 11, 2021 at 05:07PM",ece477,100206,77.57127F,63.52%,560
"March 11, 2021 at 05:07PM",ece477,100207,77.57127F,63.73%,554
"March 11, 2021 at 05:07PM",ece477,100208,77.57127F,63.70%,560
"March 11, 2021 at 05:07PM",ece477,100209,77.66731F,63.87%,563
"March 11, 2021 at 05:07PM",ece477,100210,77.53926F,63.83%,560
"March 11, 2021 at 05:07PM",ece477,100211,77.57127F,63.84%,561
"March 11, 2021 at 05:07PM",ece477,100212,77.63529F,63.90%,561
"March 11, 2021 at 05:08PM",ece477,100213,77.57127F,63.84%,563
"March 11, 2021 at 05:08PM",ece477,100214,77.53926F,63.97%,560
"March 11, 2021 at 05:08PM",ece477,100215,77.66731F,64.12%,565
"March 11, 2021 at 05:08PM",ece477,100216,77.63529F,63.41%,528
"March 11, 2021 at 05:08PM",ece477,100217,77.57127F,62.40%,523
"March 11, 2021 at 05:08PM",ece477,100218,77.57127F,61.24%,522
"March 11, 2021 at 05:08PM",ece477,100219,77.60329F,60.51%,518
"March 11, 2021 at 05:08PM",ece477,100220,77.66731F,60.12%,508
"March 11, 2021 at 05:08PM",ece477,100221,77.63529F,59.86%,496
"March 11, 2021 at 05:08PM",ece477,100222,77.66731F,59.61%,518
"March 11, 2021 at 05:09PM",ece477,100223,77.66731F,59.59%,508
"March 11, 2021 at 05:09PM",ece477,100224,77.63529F,59.39%,511
"March 11, 2021 at 05:09PM",ece477,100225,77.66731F,59.40%,527
"March 11, 2021 at 05:09PM",ece477,100226,77.69931F,59.42%,522
"March 11, 2021 at 05:09PM",ece477,100227,77.66731F,59.44%,511
"March 11, 2021 at 05:09PM",ece477,100228,77.73132F,59.40%,509
"March 11, 2021 at 05:09PM",ece477,100229,77.69931F,59.38%,511
"March 11, 2021 at 05:09PM",ece477,100230,77.69931F,59.55%,522
"March 11, 2021 at 05:09PM",ece477,100231,77.69931F,59.51%,527
"March 11, 2021 at 05:09PM",ece477,100232,77.63529F,59.59%,511
"March 11, 2021 at 05:10PM",ece477,100233,77.73132F,59.75%,528
"March 11, 2021 at 05:10PM",ece477,100234,77.69931F,59.74%,518
"March 11, 2021 at 05:10PM",ece477,100235,77.76334F,59.85%,519
"March 11, 2021 at 05:10PM",ece477,100236,77.76334F,60.02%,526
"March 11, 2021 at 05:10PM",ece477,100237,77.76334F,60.09%,525
"March 11, 2021 at 05:10PM",ece477,100238,77.73132F,60.07%,521
"March 11, 2021 at 05:10PM",ece477,100239,77.69931F,60.27%,526
"March 11, 2021 at 05:10PM",ece477,100240,77.73132F,60.24%,526
"March 11, 2021 at 05:10PM",ece477,100241,77.73132F,60.26%,526
"March 11, 2021 at 05:10PM",ece477,100242,77.79535F,60.33%,528
"March 11, 2021 at 05:11PM",ece477,100243,77.73132F,60.50%,532
"March 11, 2021 at 05:11PM",ece477,100244,77.76334F,60.55%,538
"March 11, 2021 at 05:11PM",ece477,100245,77.79535F,60.73%,543
"March 11, 2021 at 05:11PM",ece477,100246,77.73132F,60.74%,541
"March 11, 2021 at 05:11PM",ece477,100247,77.76334F,60.78%,537
"March 11, 2021 at 05:11PM",ece477,100248,77.76334F,60.83%,541
"March 11, 2021 at 05:11PM",ece477,100249,77.76334F,60.91%,528
"March 11, 2021 at 05:11PM",ece477,100250,77.79535F,60.97%,541
"March 11, 2021 at 05:11PM",ece477,100251,77.69931F,61.12%,545
"March 11, 2021 at 05:11PM",ece477,100252,77.73132F,61.07%,545
"March 11, 2021 at 05:12PM",ece477,100253,77.85938F,61.20%,541
"March 11, 2021 at 05:12PM",ece477,100254,77.76334F,61.29%,548
"March 11, 2021 at 05:12PM",ece477,100255,77.76334F,61.41%,543
"March 11, 2021 at 05:12PM",ece477,100256,77.79535F,61.51%,541
"March 11, 2021 at 05:12PM",ece477,100257,77.82736F,61.61%,545
"March 11, 2021 at 05:12PM",ece477,100258,77.82736F,61.70%,548
"March 11, 2021 at 05:12PM",ece477,100259,77.82736F,61.71%,544
"March 11, 2021 at 05:12PM",ece477,100260,77.82736F,61.72%,554
"March 11, 2021 at 05:12PM",ece477,100261,77.82736F,61.82%,550
"March 11, 2021 at 05:12PM",ece477,100262,77.82736F,61.75%,550
"March 11, 2021 at 05:13PM",ece477,100263,77.79535F,61.90%,556
"March 11, 2021 at 05:13PM",ece477,100264,77.79535F,62.04%,558
"March 11, 2021 at 05:13PM",ece477,100265,77.85938F,62.03%,550
"March 11, 2021 at 05:13PM",ece477,100266,77.85938F,62.09%,554
"March 11, 2021 at 05:13PM",ece477,100267,77.85938F,62.11%,555
"March 11, 2021 at 05:13PM",ece477,100268,77.85938F,62.08%,559
"March 11, 2021 at 05:13PM",ece477,100269,77.89138F,62.15%,555
"March 11, 2021 at 05:13PM",ece477,100270,77.89138F,62.49%,560
"March 11, 2021 at 05:13PM",ece477,100271,77.89138F,62.35%,565
"March 11, 2021 at 05:13PM",ece477,100272,77.89138F,62.45%,560
"March 11, 2021 at 05:14PM",ece477,100273,77.85938F,62.59%,561
"March 11, 2021 at 05:14PM",ece477,100274,77.82736F,62.52%,560
"March 11, 2021 at 05:14PM",ece477,100275,77.82736F,62.55%,565
"March 11, 2021 at 05:14PM",ece477,100276,77.85938F,62.52%,567
"March 11, 2021 at 05:14PM",ece477,100277,77.89138F,62.66%,564
"March 11, 2021 at 05:14PM",ece477,100278,77.89138F,62.79%,560
"March 11, 2021 at 05:14PM",ece477,100279,77.89138F,63.07%,564
"March 11, 2021 at 05:14PM",ece477,100280,77.95541F,62.89%,566
"March 11, 2021 at 05:14PM",ece477,100281,77.92339F,62.90%,567
"March 11, 2021 at 05:14PM",ece477,100282,77.98741F,63.06%,570
"March 11, 2021 at 05:15PM",ece477,100283,77.92339F,63.00%,570
"March 11, 2021 at 05:15PM",ece477,100284,77.95541F,63.15%,573
"March 11, 2021 at 05:15PM",ece477,100285,77.95541F,63.12%,565
"March 11, 2021 at 05:15PM",ece477,100286,77.92339F,63.13%,565
"March 11, 2021 at 05:15PM",ece477,100287,77.98741F,63.15%,574
"March 11, 2021 at 05:15PM",ece477,100288,77.95541F,63.18%,567
"March 11, 2021 at 05:15PM",ece477,100289,77.89138F,63.26%,574
"March 11, 2021 at 05:15PM",ece477,100290,77.85938F,63.30%,576
"March 11, 2021 at 05:15PM",ece477,100291,77.89138F,63.36%,571
"March 11, 2021 at 05:15PM",ece477,100292,77.89138F,63.41%,570
"March 11, 2021 at 05:16PM",ece477,100293,77.85938F,63.62%,575
"March 11, 2021 at 05:16PM",ece477,100294,77.89138F,63.46%,580
"March 11, 2021 at 05:16PM",ece477,100295,77.92339F,63.53%,581
"March 11, 2021 at 05:16PM",ece477,100296,77.89138F,63.61%,576
"March 11, 2021 at 05:16PM",ece477,100297,77.92339F,63.56%,577
"March 11, 2021 at 05:16PM",ece477,100298,77.89138F,63.69%,575
"March 11, 2021 at 05:16PM",ece477,100299,77.95541F,63.70%,576
"March 11, 2021 at 05:16PM",ece477,100300,77.95541F,63.74%,581
"March 11, 2021 at 05:16PM",ece477,100301,77.89138F,63.83%,581
"March 11, 2021 at 05:16PM",ece477,100302,77.89138F,63.87%,589
"March 11, 2021 at 05:17PM",ece477,100303,77.92339F,63.94%,582
"March 11, 2021 at 05:17PM",ece477,100304,77.92339F,63.97%,586
"March 11, 2021 at 05:17PM",ece477,100305,77.89138F,63.99%,611
"March 11, 2021 at 05:17PM",ece477,100306,77.92339F,64.12%,585
"March 11, 2021 at 05:17PM",ece477,100307,77.95541F,64.28%,586
"March 11, 2021 at 05:17PM",ece477,100308,77.92339F,64.10%,590
"March 11, 2021 at 05:17PM",ece477,100309,77.92339F,64.06%,578
"March 11, 2021 at 05:17PM",ece477,100310,77.95541F,64.17%,582
"March 11, 2021 at 05:17PM",ece477,100311,77.85938F,64.15%,592
"March 11, 2021 at 05:17PM",ece477,100312,77.92339F,64.28%,592
"March 11, 2021 at 05:18PM",ece477,100313,77.92339F,64.29%,586
"March 11, 2021 at 05:18PM",ece477,100314,77.85938F,64.35%,591
"March 11, 2021 at 05:18PM",ece477,100315,77.95541F,64.65%,591
"March 11, 2021 at 05:18PM",ece477,100316,77.95541F,64.65%,567
"March 11, 2021 at 05:18PM",ece477,100317,77.89138F,64.31%,579
"March 11, 2021 at 05:18PM",ece477,100318,77.89138F,64.17%,563
"March 11, 2021 at 05:18PM",ece477,100319,77.89138F,64.00%,573
"March 11, 2021 at 05:18PM",ece477,100320,77.85938F,63.93%,576
"March 11, 2021 at 05:18PM",ece477,100321,77.82736F,63.88%,576
"March 11, 2021 at 05:18PM",ece477,100322,77.82736F,63.54%,577
"March 11, 2021 at 05:19PM",ece477,100323,77.82736F,63.64%,577
"March 11, 2021 at 05:19PM",ece477,100324,77.82736F,63.67%,574
"March 11, 2021 at 05:19PM",ece477,100325,77.85938F,63.72%,577
"March 11, 2021 at 05:19PM",ece477,100326,77.76334F,63.70%,572
"March 11, 2021 at 05:19PM",ece477,100327,77.76334F,63.67%,576
"March 11, 2021 at 05:19PM",ece477,100328,77.76334F,63.66%,576
"March 11, 2021 at 05:19PM",ece477,100329,77.73132F,63.77%,574
"March 11, 2021 at 05:19PM",ece477,100330,77.66731F,63.83%,576
"March 11, 2021 at 05:19PM",ece477,100331,77.69931F,63.83%,574
"March 11, 2021 at 05:19PM",ece477,100332,77.66731F,63.95%,578
"March 11, 2021 at 05:20PM",ece477,100333,77.63529F,64.08%,576
"March 11, 2021 at 05:20PM",ece477,100334,77.63529F,64.11%,582
"March 11, 2021 at 05:20PM",ece477,100335,77.60329F,64.11%,588
"March 11, 2021 at 05:20PM",ece477,100336,77.53926F,64.15%,579
"March 11, 2021 at 05:20PM",ece477,100337,77.53926F,64.29%,578
